flower_part,count_grouping,category,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
fruit_just_starting,flower_or_fruit_by_spp,aborted_fruit,33,2,1,1,,2,2,2,,1,1,1,2,,
fruit_young,flower_or_fruit_by_spp,aborted_fruit,35,2,1,1,1,2,2,2,1,1,1,1,2,1,
fruit_young_aborting,,aborted_fruit,36,,,,,,,,1,,,,,,
fruit_large_immature_01,flower_or_fruit_by_spp,aborted_fruit,37,,1,1,1,2,2,2,1,1,1,1,2,1,2
fruit_large_immature_02,flower_or_fruit_by_spp,aborted_fruit,,,,,,2,2,,,,1,,,,
fruit_large_immature_03,flower_or_fruit_by_spp,aborted_fruit,,,,,,2,2,,,,1,,,,
fruit_large_immature_04,flower_or_fruit_by_spp,aborted_fruit,,,,,,2,2,,,,1,,,,
fruit_large_immature_05,flower_or_fruit_by_spp,aborted_fruit,,,,,,2,2,,,,1,,,,
fruit_large_immature_06,flower_or_fruit_by_spp,aborted_fruit,,,,,,2,2,,,,1,,,,
fruit_large_immature_aborting,,aborted_fruit,,,,,,,,,1,,,,,,
fruit_aborted,flower_or_fruit_by_spp,aborted_fruit,39,,,,,,,2,1,1,,1,2,1,2
fruit_empty,flower_or_fruit_by_spp,aborted_fruit,40,,,,,,,,,,,1,,,
fruit_mature,flower_or_fruit_by_spp,mature_fruit,41,,,1,1,,,,1,1,,1,,,
calyx_fruit,flower_or_fruit_by_spp,packaging&dispersal,43,,,,,,,,1,1,,,,,
calyx_aborted_fruit,flower_or_fruit_by_spp,aborted_fruit,45,,,,,,,,1,,,,,,
bract_fruit,flower_or_fruit_by_spp,packaging&dispersal,46,,,1,,,,,,,,,,,2
pedicel,flower_or_fruit_by_spp,packaging&dispersal,47,,4,,,2,2,,,,1,,,,
seed_pod,flower_or_fruit_by_spp,mature_fruit,48,2,1,,,2,2,2,,,1,,2,1,2
seed_immature,seed,aborted_fruit,50,,,,,,,1,,,,,,,
seed_aborted,seed,aborted_fruit,51,1,1,,,1,1,1,,,,,1,,1
seed,seed,mature_fruit,52,1,1,,,1,1,1,,,1,,1,1,1
cone_just_starting_01,inflorescence,prepollination,54,,,,,,,,,,,1,,,
cone_just_starting_02,inflorescence,prepollination,,,,,,,,,,,,1,,,
cone_just_starting_03,inflorescence,prepollination,,,,,,,,,,,,1,,,
cone_just_starting_04,inflorescence,prepollination,,,,,,,,,,,,1,,,
cone_just_starting_05,inflorescence,prepollination,,,,,,,,,,,,1,,,
cone_young_01,inflorescence,prepollination,,1,,,,,,,,,,1,,,
cone_young_02,inflorescence,prepollination,,1,,,,,,,,,,1,,,
cone_young_03,inflorescence,prepollination,,1,,,,,,,,,,1,,,
cone_young_04,inflorescence,prepollination,,1,,,,,,,,,,1,,,
cone_green_01,inflorescence,packaging&dispersal,56,1,,,,,,,,,,1,,,
cone_green_02,inflorescence,packaging&dispersal,,1,,,,,,,,,,1,,,
cone_green_03,inflorescence,packaging&dispersal,,1,,,,,,,,,,1,,,
cone_green_04,inflorescence,packaging&dispersal,,1,,,,,,,,,,1,,,
cone_brown_no_expanded_follicles,seed,aborted_fruit,57,1,,,,,,,,,,1,,,
cone_brown,inflorescence,packaging&dispersal,58,1,,,,,,,,,,1,,,
cone_aborted,inflorescence,prepollination,59,1,,,,,,,,,,1,,,
cone_base_green_01,inflorescence,packaging&dispersal,61,1,,,,,,,,,,,,,
cone_base_green_02,inflorescence,packaging&dispersal,,1,,,,,,,,,,,,,
cone_base_green_03,inflorescence,packaging&dispersal,,1,,,,,,,,,,,,,
cone_base_green_04,inflorescence,packaging&dispersal,,1,,,,,,,,,,,,,
cone_base_brown,inflorescence,packaging&dispersal,62,1,,,,,,,,,,,,,
